,ST,CB,PB,GO,CA,RETURN,VOLAT
0,0,0,0,0,100,-6.691565515094927,3.304229268584523
1,0,0,0,20,80,1.6260316141338116,39.710879490196234
2,0,0,0,40,60,8.572616840244681,9.676100226645044
3,0,0,0,60,40,14.461361125786468,45.26757582864768
4,0,0,0,80,20,19.51680328478556,75.46474630017764
5,0,0,0,100,0,23.904133379645724,7.812172001484948
6,0,0,20,0,80,-3.9509110262350453,19.319393683492372
7,0,0,20,20,60,2.275641025641023,22.14310493559259
8,0,0,20,40,40,7.695242247533927,22.848763765281756
9,0,0,20,60,20,12.455215477530974,58.64520960207237
10,0,0,20,80,0,16.669078979109397,44.5009969067157
11,0,0,40,0,60,-2.290978095585188,28.95087024317286
12,0,0,40,20,40,2.6835370987442175,55.192821945323765
13,0,0,40,40,20,7.126901274064092,55.16157080774883
14,0,0,40,60,0,11.119872976630683,5.916558570734747
15,0,0,60,0,40,-1.1778043711028419,60.634111448603925
16,0,0,60,20,20,2.9634665760163137,88.53739142873742
17,0,0,60,40,0,6.728768587626702,40.39468994911336
18,0,0,80,0,20,-0.37944678281403826,83.17761023379285
19,0,0,80,20,0,3.167483384756324,72.47985087943906
20,0,0,100,0,0,0.22109917877447885,1.6332376264113384
21,0,20,0,0,80,-4.914280779030087,65.35976683648778
22,0,20,0,20,60,3.5441550812610143,47.90603897073144
23,0,20,0,40,40,10.561387167269737,51.76037230599506
24,0,20,0,60,20,16.47684130599848,86.67222109354624
25,0,20,0,80,0,21.53111512442989,79.0199959921861
26,0,20,20,0,60,-2.540199667758012,43.91403341947136
27,0,20,20,20,40,3.76129061250169,37.05383977834688
28,0,20,20,40,20,9.224638187792781,56.27217182676005
29,0,20,20,60,0,14.006634238439265,61.77090174900223
30,0,20,40,0,40,-1.1249549503166418,70.74106923462192
31,0,20,40,20,20,3.8957888608577393,82.9624680105788
32,0,20,40,40,0,8.368882161368735,58.122967359403674
33,0,20,60,0,20,-0.18526252663817344,102.3810051947132
34,0,20,60,20,0,3.987283083852177,91.07123821775828
35,0,20,80,0,0,0.484092784450363,85.65826189423284
36,0,40,0,0,60,-2.9865190286498535,28.311863237092354
37,0,40,0,20,40,5.6089776169468895,9.131661645303861
38,0,40,0,40,20,12.688849754379461,51.436123788860165
39,0,40,0,60,0,18.621488560671885,51.873148685098144
40,0,40,20,0,40,-1.0412161937393876,20.424533794527523
41,0,40,20,20,20,5.3330867166065685,34.55815792132367
42,0,40,20,40,0,10.836660252175667,28.641443288400957
43,0,40,40,0,20,0.09893023439870204,72.0866984576275
44,0,40,40,20,0,5.1646455744908,59.57987741768566
45,0,40,60,0,0,0.848087431693993,65.81045358805714
46,0,60,0,0,40,-0.8883248730964296,11.888846298984728
47,0,60,0,20,20,7.837997801640319,35.823738338609154
48,0,60,0,40,0,14.970036877689028,17.141625911028193
49,0,60,20,0,20,0.5545921258220029,36.980775218788665
50,0,60,20,20,0,6.998745972030409,18.60807116705657
51,0,60,40,0,0,1.3850940078452663,36.61852173649315
52,0,80,0,0,20,1.4039487595584055,54.2465863671691
53,0,80,0,20,0,10.251612477161176,32.18711037558461
54,0,80,20,0,0,2.256919801277515,10.83654183283967
55,0,100,0,0,0,3.9185357050786283,2.1614829741755144
56,20,0,0,0,80,-2.7251572869085647,35.180963186151956
57,20,0,0,20,60,3.9906963406668683,25.646104323819515
58,20,0,0,40,40,9.76054022835311,29.769017588564044
59,20,0,0,60,20,14.771108006031858,67.18146979444184
60,20,0,0,80,0,19.163021326860434,57.19559165556466
61,20,0,20,0,60,-1.193965049386736,18.209653503222505
62,20,0,20,20,40,4.086158552128477,18.447925460468113
63,20,0,20,40,20,8.762737935012506,40.87714173120354
64,20,0,20,60,0,12.933660710225972,43.223436223690754
65,20,0,40,0,40,-0.20023939234615282,52.487752209457526
66,20,0,40,20,20,4.149805096177344,68.03059127878852
67,20,0,40,40,0,8.081492341135444,39.99094533026005
68,20,0,60,0,20,0.4967549152090818,85.97988656220143
69,20,0,60,20,0,4.195269396747948,75.67977408545966
70,20,0,80,0,0,1.0126603240844332,69.85710529621178
71,20,20,0,0,60,-1.1258773648768987,46.1169574315527
72,20,20,0,20,40,5.67252422401052,29.272177932094458
73,20,20,0,40,20,11.485848338055646,58.395891656821455
74,20,20,0,60,0,16.513735405244162,70.41286137358088
75,20,20,20,0,40,0.09606950419781457,36.084220915852974
76,20,20,20,20,20,5.425769466825109,41.63940035459996
77,20,20,20,40,0,10.132169422757736,44.06700232692968
78,20,20,40,0,20,0.8798793308346283,80.71591952576509
79,20,20,40,20,0,5.262929726449044,70.57015423928172
80,20,20,60,0,0,1.4253737851377621,88.47446008605445
81,20,40,0,0,40,0.5842994857427205,8.979845270332076
82,20,40,0,20,20,7.461573658255524,23.129200565348214
